,0
0,argentina
1,georgia
2,iceland
3,iraq
4,jordan
5,qatar
6,qatar
7,saudi arabia
8,sudan
9,united arab emirates
10,ukraine
11,ukraine
12,azerbaijan
13,mongolia
14,australia
15,china
16,china
17,russia
18,russia
19,syria
20,united kingdom
21,egypt
22,morocco
23,pakistan
24,ghana
25,malaysia
26,argentina
27,mexico
28,spain
29,cote d'ivoire
30,south africa
31,guinea
32,palestina
33,ecuador
34,greece
35,dr congo
36,kazakhstan
37,panama
38,peru
39,algeria
40,angola
41,aregina
42,cambodia
43,france
44,iceland
45,iceland
46,malta
47,brazil
48,ecuador
49,hungary
50,kenya
51,poland
52,saudi arabia
53,united kingdom
54,united kingdom
55,venezuela
56,chile
57,botswana
58,dr congo
59,nigeria
60,rwanda
61,zambia
62,venezuela
63,india
64,china
65,brazil
66,ghana
67,italy
68,honduras
69,columbia
70,senegal
71,spain
72,china
73,ecuador