,Politicians,Countries
0,Mauricio Macri,argentina
1,Bidzina Ivanishvili,georgia
2,Sigmundur DavÃ_Ã° Gunnlaugsson,iceland
3,Ayad Allawi,iraq
4,Ali Abu al-Ragheb,jordan
5,Hamad bin Jassim bin Jaber Al Thani,qatar
6,Hamad bin Khalifa Al Thani,qatar
7,Salman bin Abdulaziz bin Abdulrahman Al Saud,saudi Arabia
8,Ahmad Ali al-Mirghani,sudan
9,Khalifa bin Zayed bin Sultan Al Nahyan,united Arab Emirates
10,Pavlo Lazarenko,ukraine
11,Petro Poroshenko,ukraine
12,"Prime Minister Ilham Aliyev's wife, children and sister",azerbaijan
13,SÃ_khbaataryn Batbold,mongolia
14,Malcolm Turnbull,australia
15,Deng Jiagui,china
16,Li Xiaolin,china
17,Arkady and Boris Rotenberg,russia
18,Sergey Roldugin,russia
19,Rami and Hafez Makhlouf,syria
20,Ian Cameron,united Kingdom
21,Alaa Mubarak,egypt
22,Mounir Majidi,morocco
23,"Mariam Safdar, Hasan and Hussain Nawaz Sharif",pakistan
24,John Addo Kufuor,ghana
25,Mohd Nazifuddin bin Mohd Najib,malaysia
26,Daniel MuÃ±oz,argentina
27,Juan Armando Hinojosa,mexico
28,Pilar de BorbÃ_n,spain
29,Jean-Claude Nâ€™Da Ametchi,cote d'Ivoire
30,Clive Khulubuse Zuma,south Africa
31,Mamadie TourÃ©,guinea
32,Mohammad Mustafa,palestina
33,Pedro Delgado,ecuador
34,Stavros Papastavrou,greece
35,Jaynet DÃ©sirÃ©e Kabila Kyungu,Republic of Congo
36,Nurali Aliyev,kazakhstan
37,Riccardo Francolini,panama
38,CÃ©sar Almeyda,peru
39,Abdeslam Bouchouareb,algeria
40,JosÃ© Maria Botelho de Vasconcelos,angola
41,NÃ©stor Grindetti,aregina
42,Ang Vong Vathana,cambodia
43,JÃ©rÃ´me Cahuzac,france
44,Bjarni Benediktsson,iceland
45,Ã“lÃ¶f Nordal,iceland
46,Konrad Mizzi,malta
47,JoÃ£o Lyra,brazil
48,Galo Chiriboga,ecuador
49,Zsolt HorvÃ¡th,hungary
50,Kalpana Rawal,kenya
51,PaweÅ‚ Piskorski,poland
52,Mohammad bin Naif bin Abdulaziz Al-Saud,saudi Arabia
53,Pamela Sharples,united Kingdom
54,Michael Mates,united Kingdom
55,JesÃºs Villanueva,venezuela
56,Alfredo Ovalle RodrÃ_guez,chile
57,Ian Kirby,botswana
58,Bruno Jean-Richard Itoua,dr congo
59,James Ibori,nigeria
60,Emmanuel Ndahiro,rwanda
61,Attan Shansonga,zambia
62,VÃ_ctor Cruz Weffer,venezuela
63,Anurag Kejriwal,india
64,Jasmine Li,china
65,IdalÃ©cio de Oliveira,brazil
66,Kojo Annan,ghana
67,Giuseppe Donaldo Nicosia,italy
68,CÃ©sar Rosenthal,honduras
69,Carlos GutiÃ©rrez Robayo,columbia
70,Mamadou Pouye,senegal
71,Micaela Domecq SolÃ_s-Beaumont,spain
72,Patrick Henri Devillers,china
73,Javier Molina Bonilla,ecuador